filename,label,RGB_0,RGB_1,RGB_2,RGB_3,RGB_4,RGB_5,RGB_6,RGB_7,RGB_8,RGB_9,RGB_10,RGB_11,RGB_12,RGB_13,RGB_14,RGB_15,RGB_16,RGB_17,RGB_18,RGB_19,RGB_20,RGB_21,RGB_22,RGB_23,RGB_24,RGB_25,RGB_26,RGB_27,RGB_28,RGB_29,RGB_30,RGB_31,RGB_32,RGB_33,RGB_34,RGB_35,RGB_36,RGB_37,RGB_38,RGB_39,RGB_40,RGB_41,RGB_42,RGB_43,RGB_44,RGB_45,RGB_46,RGB_47,RGB_48,RGB_49,RGB_50,RGB_51,RGB_52,RGB_53,RGB_54,RGB_55,RGB_56,RGB_57,RGB_58,RGB_59,RGB_60,RGB_61,RGB_62,RGB_63,RGB_64,RGB_65,RGB_66,RGB_67,RGB_68,RGB_69,RGB_70,RGB_71,RGB_72,RGB_73,RGB_74,RGB_75,RGB_76,RGB_77,RGB_78,RGB_79,RGB_80,RGB_81,RGB_82,RGB_83,RGB_84,RGB_85,RGB_86,RGB_87,RGB_88,RGB_89,RGB_90,RGB_91,RGB_92,RGB_93,RGB_94,RGB_95
100000_sample_ (1).jpg,100k,0.9112419,0.017922278,0.014838876,0.01474252,0.09664541,0.15532641,0.36798486,0.0,0.89780986,0.003192046,0.003192046,0.014739742,0.09200603,0.104398675,0.41750082,0.005351371,0.86753047,0.0029056913,0.0031780999,0.0040861284,0.02451677,0.07827206,0.4902446,0.016980134,0.9749367,0.2079081,0.009585844,0.014419043,0.017399516,0.024246547,0.07128968,0.0,0.9941168,0.075859524,0.010274921,0.011732357,0.015740303,0.013262664,0.07287178,7.287178e-05,0.99463516,0.022298442,0.0009694975,0.0010387474,0.005678485,0.00387799,0.100619994,0.005470736,0.8915105,0.008789092,0.06300615,0.13035388,0.22184516,0.3630001,0.056440797,0.0,0.9012703,0.012201022,0.044308975,0.097822234,0.19243367,0.3277152,0.17777103,0.0,0.89133084,0.00540008,0.035047576,0.032294594,0.1863557,0.24543892,0.32887545,0.010058972,0.9813152,0.14720924,0.0039096223,0.0153991245,0.043325,0.11497481,0.0011170349,0.0,0.9958423,0.024827493,0.0029590908,0.009238137,0.040416848,0.054562747,0.054562747,7.2172945e-05,0.99481136,0.0066575725,0.002337233,0.0031163106,0.02918,0.028188447,0.09292272,0.0031871358
100000_sample_ (10).jpg,100k,0.86202383,0.010829181,0.037429016,0.105663374,0.33360186,0.36451235,0.008516152,0.0,0.8663444,0.007715401,0.021032395,0.05252814,0.2704618,0.40024963,0.11330013,0.0,0.85575956,0.003341995,0.010130422,0.020365281,0.10610834,0.36344194,0.3518494,0.00010443734,0.98028934,0.1132202,0.0053875507,0.011591397,0.082772374,0.13844372,0.005714069,0.0,0.9879045,0.056868475,0.0042124796,0.008502968,0.018800141,0.10226964,0.09953933,0.0,0.98486817,0.0036911333,0.0014764534,0.0049461187,0.008932543,0.03654222,0.16905391,0.0,0.90009624,0.047434784,0.038117237,0.14325729,0.27455,0.29858503,0.032717295,0.0,0.9016577,0.046075527,0.023993246,0.07442153,0.2688093,0.30288818,0.1215587,0.0,0.8787602,0.0065223724,0.006211783,0.055595458,0.17051345,0.1707205,0.4079071,0.0,0.98313856,0.0014121282,0.0018580635,0.006540383,0.040877398,0.17800248,0.005871481,0.0,0.98752964,0.0013440857,0.0013440857,0.004853643,0.0188172,0.13978492,0.06974311,0.0,0.9777684,0.0012568668,0.0011090001,0.0029573336,0.0019962003,0.0173004,0.20893562,0.0
100000_sample_ (11).jpg,100k,0.954914,0.0040575773,0.028218606,0.116932005,0.14634944,0.22593328,0.034489408,0.0,0.9552182,0.0035986775,0.0066437125,0.06385346,0.17495109,0.20632418,0.10122434,0.0,0.9379185,0.0032629557,0.0032629557,0.00425997,0.06580294,0.18399444,0.28650564,0.0,0.97056746,0.0022860789,0.035899904,0.03505321,0.10194218,0.20998056,0.031497084,0.0,0.9769372,0.0021306316,0.03724344,0.027272085,0.091105804,0.15238278,0.109258786,0.0,0.9557244,0.002001517,0.0026686895,0.00216831,0.012926465,0.12467784,0.26620176,0.0,0.97849107,0.04412871,0.09670019,0.08912781,0.08051096,0.12951384,0.007572382,0.0,0.9795234,0.00923832,0.06623702,0.07286072,0.11216716,0.111034155,0.07643403,0.00043576985,0.9735758,0.0026870414,0.0032071138,0.061021842,0.12984477,0.10843512,0.14067961,0.00069343,0.95151687,0.0047913007,0.00683204,0.03016745,0.19023238,0.23743558,0.032740556,0.0,0.95297956,0.002399333,0.0030213825,0.013862813,0.07446819,0.23886694,0.17035265,0.0,0.92659914,0.0024199958,0.0021607105,0.0041485643,0.0058771325,0.11780194,0.35703582,0.0
100000_sample_ (12).jpg,100k,0.77419615,0.0048583364,0.015992025,0.024696544,0.1563777,0.6081018,0.07408963,0.0,0.8091488,0.004020878,0.014813761,0.022220641,0.06158292,0.44991508,0.37193123,0.0,0.71989095,0.0033890512,0.006872243,0.006589822,0.015627291,0.10336606,0.6860946,0.0005648419,0.91668737,0.39077458,0.0026854384,0.0036383357,0.020963743,0.08064978,0.0038982169,0.0,0.98120177,0.1809483,0.001924982,0.002771974,0.0033109689,0.033417687,0.057980455,0.0,0.9967418,0.018910568,0.0015478402,0.0018170298,0.0014805428,0.0038359517,0.078266874,0.0,0.7474098,0.016301809,0.021023713,0.04823087,0.23542061,0.5913622,0.18224299,0.0,0.7562064,0.0148944575,0.020010876,0.030471105,0.14212269,0.48264864,0.41647634,0.0,0.64177656,0.0048261136,0.0037643686,0.012451373,0.035520196,0.12789202,0.75519025,0.0,0.98309934,0.17733379,0.0020801618,0.0011143724,0.007354858,0.04479777,0.0014115383,0.0,0.9968061,0.07080986,0.0016403829,0.00095689006,0.0021871773,0.034448043,0.012986366,0.0,0.9990918,0.0044975197,0.0015420066,0.00070675305,0.0007710033,0.003919267,0.042148184,0.0
100000_sample_ (13).jpg,100k,0.9557434,0.0054084845,0.040059455,0.101661175,0.1465791,0.22926474,0.023192314,0.0,0.95192194,0.0032875277,0.0069403364,0.047212552,0.19588186,0.21916851,0.071777694,0.0,0.93754107,0.002790033,0.002790033,0.0032400382,0.04563054,0.20619243,0.27639326,0.0,0.9663585,0.005157745,0.034751363,0.036611535,0.08708979,0.23581886,0.019531788,0.0,0.9705889,0.0029725772,0.033123,0.032358624,0.0786459,0.21478993,0.05902689,0.0,0.9522126,0.0019997465,0.002166392,0.004582752,0.009582118,0.109819405,0.28479722,0.0,0.9803366,0.03706441,0.07446886,0.058741987,0.09130086,0.1419669,0.008926062,0.0,0.9809925,0.0035759143,0.048445124,0.050573647,0.09842279,0.120218836,0.09271835,0.0,0.97508407,0.002624152,0.002793452,0.043002233,0.08448076,0.113854334,0.16506763,0.0,0.95351976,0.0041595907,0.006018131,0.03770182,0.20877604,0.21205062,0.027789604,0.0,0.9539529,0.002923247,0.0028346637,0.011515821,0.07866192,0.23979484,0.16166441,0.0,0.9303474,0.0025917375,0.0023325637,0.0029373025,0.0050106924,0.12906852,0.34314606,0.0
100000_sample_ (14).jpg,100k,0.80414546,0.0069055427,0.014511648,0.025720645,0.14331503,0.5713586,0.073759206,0.0,0.83926976,0.0063755237,0.013064598,0.02142594,0.07190754,0.39904508,0.3613145,0.0,0.76102525,0.0057854615,0.004837025,0.0073029594,0.020581067,0.11665766,0.6377286,0.0,0.92135566,0.36998272,0.0041790884,0.005957424,0.03947905,0.11221298,0.003645588,0.0,0.97781336,0.18277557,0.003116855,0.003995968,0.007352581,0.04099863,0.09334581,0.0,0.9929628,0.023733651,0.0017502692,0.002100323,0.0023803662,0.008471304,0.11565779,0.0,0.8893241,0.014262258,0.021910135,0.031108258,0.26963934,0.34684157,0.120195694,0.0,0.89385104,0.013713196,0.020154241,0.02410198,0.16642833,0.32122123,0.26262847,0.0,0.8290464,0.0040488313,0.0033740262,0.014556513,0.030173434,0.16503808,0.5331925,0.0,0.9869674,0.08968257,0.001989545,0.005815593,0.035199642,0.12863174,0.0054329885,0.0,0.9940456,0.024842087,0.00159337,0.003983425,0.014847311,0.08278281,0.06453148,0.0,0.98909074,0.002255141,0.0014094631,0.0021141947,0.002255141,0.010641446,0.14686605,0.0
100000_sample_ (15).jpg,100k,0.9409791,0.0031543402,0.021686088,0.13090512,0.15377408,0.24081416,0.12370928,0.0,0.9316204,0.0029280894,0.0019520596,0.041188456,0.19501075,0.23990811,0.1865193,0.0,0.9089606,0.0030502032,0.0021923336,0.001906377,0.07396743,0.23620011,0.33542705,0.0,0.9785222,0.0059130313,0.03193037,0.028467022,0.080586165,0.1480792,0.11048921,0.0,0.977623,0.0022702178,0.03413735,0.02320667,0.06314568,0.14672333,0.13049547,0.0,0.9616968,0.0017368105,0.0019022211,0.001240579,0.023488294,0.1193437,0.24563463,0.0,0.95012367,0.06993747,0.13415368,0.07999899,0.12764327,0.22559518,0.028113086,0.00059185445,0.9519934,0.017702766,0.08979951,0.081887655,0.12560064,0.19759847,0.1542811,0.0014834721,0.9418231,0.003131907,0.005187221,0.10139549,0.16207619,0.172157,0.21619946,0.0015659535,0.9718062,0.0026531694,0.0044772234,0.023961436,0.15753193,0.1717098,0.02628296,0.0,0.97321856,0.0020758011,0.0024909612,0.005480115,0.066093504,0.16681138,0.1435624,0.00066425634,0.96444166,0.002139364,0.0023039302,0.0031267623,0.0050192764,0.16078141,0.20965765,0.0006582658
100000_sample_ (16).jpg,100k,0.9137302,0.013197884,0.039891347,0.12642184,0.32697013,0.20104446,0.0045646816,0.0,0.91643935,0.012257725,0.026807545,0.07862882,0.2839208,0.26448783,0.050226778,0.0,0.9190467,0.0066966973,0.012293937,0.034982745,0.21569362,0.28216085,0.16671777,0.0,0.9708989,0.122057825,0.0043653217,0.007874698,0.089874275,0.1836859,0.023624094,0.0,0.9812227,0.041575197,0.0039252113,0.004726275,0.016101377,0.12584707,0.13906462,0.0,0.97338015,0.0025997583,0.0017586601,0.0027526855,0.004893663,0.04220784,0.22518496,0.0,0.95774454,0.033568364,0.027382324,0.09652042,0.23770767,0.12153749,0.016010927,0.0,0.95742464,0.03328117,0.020823464,0.07447343,0.23733293,0.13830781,0.028188968,0.0,0.95619917,0.00327061,0.0166256,0.041155174,0.23521137,0.13418587,0.10184316,0.0,0.96426356,0.04093098,0.0025948063,0.0035992474,0.0366621,0.24792956,0.07541679,0.0,0.97057194,0.01086949,0.0024517647,0.0026152157,0.018469961,0.19646809,0.137544,0.0,0.95115966,0.0023826645,0.0022238202,0.002144398,0.002064976,0.034548637,0.30672833,0.0
100000_sample_ (17).jpg,100k,0.78250545,0.5953934,0.0020393678,0.0037728306,0.080657,0.1555018,0.049862545,0.00091771554,0.8586878,0.48686534,0.002091688,0.003486147,0.065340355,0.10518204,0.100899056,0.009362794,0.97944784,0.14537182,0.0017494604,0.0013329221,0.02041037,0.057648882,0.11929653,0.039654434,0.99702674,0.030430028,0.0041850153,0.026103148,0.0436944,0.047311954,0.012838776,0.00056745973,0.9971402,0.024551068,0.0040918444,0.018342752,0.03033609,0.058485158,0.020177027,0.0027514128,0.9976991,0.0047090678,0.0029085418,0.009348884,0.018420763,0.04619041,0.043074116,0.012257426,0.6638699,0.73822415,0.004628673,0.0076816278,0.025900872,0.03446884,0.106361,0.032400712,0.61756384,0.77837753,0.005098971,0.009315427,0.024416227,0.02667154,0.05265668,0.09246788,0.89331,0.42836165,0.0010214564,0.0012071757,0.0037143868,0.018200496,0.05079424,0.124803394,0.99137276,0.11135285,0.0043060463,0.0064212973,0.022134589,0.045024626,0.045477893,0.0116338795,0.9863267,0.1491158,0.0012445763,0.0022557946,0.02030215,0.041071016,0.031114407,0.04301567,0.9948069,0.07011951,0.00080261665,0.0011674424,0.00240785,0.035606995,0.03947415,0.051075608
100000_sample_ (18).jpg,100k,0.98300517,0.11439294,0.0023059773,0.0074944263,0.06349673,0.07247357,0.10615731,0.0,0.9184009,0.35249728,0.001907969,0.0051515163,0.046268247,0.084427625,0.15158814,0.002766555,0.98617816,0.0033434806,0.0013373923,0.0014859914,0.007578556,0.039824568,0.15959547,0.017980495,0.996345,0.0036594109,0.006403969,0.015974736,0.07255486,0.03335694,0.024701023,0.0,0.9966683,0.0067800563,0.0048731654,0.01200635,0.04851978,0.05494671,0.03262902,0.0007062559,0.9951947,0.001754822,0.0011932789,0.0016144363,0.009125074,0.06064665,0.076159276,0.0043519586,0.9722885,0.21791111,0.0025510741,0.015882494,0.046166215,0.061061196,0.032423332,0.0,0.83998334,0.5324386,0.0010438112,0.0063577592,0.040613744,0.04972337,0.0822713,0.0022774062,0.99602956,0.003039624,6.9082365e-05,0.0005526589,0.009118872,0.049186643,0.07357272,0.00027632946,0.9978098,0.0314873,0.0023426,0.0146068,0.046645302,0.0310739,0.0048919,0.0,0.9941668,0.09177372,0.0023997882,0.0050904597,0.030033713,0.04101456,0.024216045,0.0027633924,0.99818164,0.004836086,0.0005373429,0.0026195466,0.013164901,0.030964386,0.04970422,0.00047017506
